"s","x","y","d","ID","sex","genus","species"
0,NA,NA,"p1.0302.0500","99.9%_s10g15","male","spodoptera","frugiperda"
2e+06,0,0,"p1.0302.0502","99.9%_s10g15","male","spodoptera","frugiperda"
625,287,173,"p1.0302.0504","99.9%_s10g15","male","spodoptera","frugiperda"
945,218,282,"p1.0302.0504","99.9%_s10g15","male","spodoptera","frugiperda"
3815,287,333,"p1.0302.0504","99.9%_s10g15","male","spodoptera","frugiperda"
333,122,388,"p1.0302.0504","99.9%_s10g15","male","spodoptera","frugiperda"
270,71,846,"p1.0302.0504","99.9%_s10g15","male","spodoptera","frugiperda"
333,1722,945,"p1.0302.0504","99.9%_s10g15","male","spodoptera","frugiperda"
270,1548,1233,"p1.0302.0504","99.9%_s10g15","male","spodoptera","frugiperda"
254,1278,1242,"p1.0302.0504","99.9%_s10g15","male","spodoptera","frugiperda"
409,1542,1263,"p1.0302.0504","99.9%_s10g15","male","spodoptera","frugiperda"
561,158,1743,"p1.0302.0504","99.9%_s10g15","male","spodoptera","frugiperda"
38029,620,1065,"p1.0302.0506","99.9%_s10g15","male","spodoptera","frugiperda"
3402,593,1651,"p1.0302.0508","99.9%_s10g15","male","spodoptera","frugiperda"
225,267,1527,"p1.0302.0510","99.9%_s10g15","male","spodoptera","frugiperda"
346,289,1543,"p1.0302.0510","99.9%_s10g15","male","spodoptera","frugiperda"
2e+06,0,0,"p1.0302.0512","99.9%_s10g15","male","spodoptera","frugiperda"
10594,562,94,"p1.0302.0514","99.9%_s10g15","male","spodoptera","frugiperda"
225,1075,530,"p1.0302.0514","99.9%_s10g15","male","spodoptera","frugiperda"
5894,1059,583,"p1.0302.0514","99.9%_s10g15","male","spodoptera","frugiperda"
974,1447,591,"p1.0302.0514","99.9%_s10g15","male","spodoptera","frugiperda"
407,112,369,"p1.0302.0516","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0518","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0520","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0522","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0524","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0526","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0528","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0530","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0532","99.9%_s10g15","male","spodoptera","frugiperda"
397,461,143,"p1.0302.0534","99.9%_s10g15","male","spodoptera","frugiperda"
255,1014,168,"p1.0302.0534","99.9%_s10g15","male","spodoptera","frugiperda"
240,534,231,"p1.0302.0534","99.9%_s10g15","male","spodoptera","frugiperda"
255,781,442,"p1.0302.0534","99.9%_s10g15","male","spodoptera","frugiperda"
255,776,523,"p1.0302.0534","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0536","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0538","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0540","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0542","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0544","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0546","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0548","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0550","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0552","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0554","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0556","99.9%_s10g15","male","spodoptera","frugiperda"
240,1386,605,"p1.0302.0558","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0600","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0602","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0604","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0606","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0608","99.9%_s10g15","male","spodoptera","frugiperda"
225,511,109,"p1.0302.0610","99.9%_s10g15","male","spodoptera","frugiperda"
225,914,247,"p1.0302.0610","99.9%_s10g15","male","spodoptera","frugiperda"
270,1214,312,"p1.0302.0610","99.9%_s10g15","male","spodoptera","frugiperda"
240,1055,326,"p1.0302.0610","99.9%_s10g15","male","spodoptera","frugiperda"
335,1472,356,"p1.0302.0610","99.9%_s10g15","male","spodoptera","frugiperda"
272,502,402,"p1.0302.0610","99.9%_s10g15","male","spodoptera","frugiperda"
622,1438,477,"p1.0302.0610","99.9%_s10g15","male","spodoptera","frugiperda"
225,868,485,"p1.0302.0610","99.9%_s10g15","male","spodoptera","frugiperda"
225,634,522,"p1.0302.0610","99.9%_s10g15","male","spodoptera","frugiperda"
