"s","x","y","d","ID","sex","genus","species"
0,NA,NA,"p1.0302.0500","99.9%_s20g30","male","spodoptera","frugiperda"
31674,574,80,"p1.0302.0502","99.9%_s20g30","male","spodoptera","frugiperda"
3397,195,337,"p1.0302.0502","99.9%_s20g30","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0504","99.9%_s20g30","male","spodoptera","frugiperda"
24047,624,1068,"p1.0302.0506","99.9%_s20g30","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0508","99.9%_s20g30","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0510","99.9%_s20g30","male","spodoptera","frugiperda"
2e+06,0,0,"p1.0302.0512","99.9%_s20g30","male","spodoptera","frugiperda"
4650,561,96,"p1.0302.0514","99.9%_s20g30","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0516","99.9%_s20g30","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0518","99.9%_s20g30","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0520","99.9%_s20g30","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0522","99.9%_s20g30","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0524","99.9%_s20g30","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0526","99.9%_s20g30","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0528","99.9%_s20g30","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0530","99.9%_s20g30","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0532","99.9%_s20g30","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0534","99.9%_s20g30","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0536","99.9%_s20g30","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0538","99.9%_s20g30","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0540","99.9%_s20g30","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0542","99.9%_s20g30","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0544","99.9%_s20g30","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0546","99.9%_s20g30","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0548","99.9%_s20g30","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0550","99.9%_s20g30","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0552","99.9%_s20g30","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0554","99.9%_s20g30","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0556","99.9%_s20g30","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0558","99.9%_s20g30","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0600","99.9%_s20g30","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0602","99.9%_s20g30","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0604","99.9%_s20g30","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0606","99.9%_s20g30","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0608","99.9%_s20g30","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0610","99.9%_s20g30","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0612","99.9%_s20g30","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0614","99.9%_s20g30","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0616","99.9%_s20g30","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0618","99.9%_s20g30","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0620","99.9%_s20g30","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0622","99.9%_s20g30","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0624","99.9%_s20g30","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0626","99.9%_s20g30","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0628","99.9%_s20g30","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0630","99.9%_s20g30","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0632","99.9%_s20g30","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0634","99.9%_s20g30","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0636","99.9%_s20g30","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0638","99.9%_s20g30","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0640","99.9%_s20g30","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0642","99.9%_s20g30","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0644","99.9%_s20g30","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0646","99.9%_s20g30","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0648","99.9%_s20g30","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0650","99.9%_s20g30","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0652","99.9%_s20g30","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0654","99.9%_s20g30","male","spodoptera","frugiperda"
